<details> <summary> <b>openwrt telephony new commit log :new: </b>  </summary>

SHA|Author|Date|Message
-|-|-|-
dc889d8|Daniel Golle|Sun Mar 3 16:16:51 2024 +0000|Merge pull request #857 from dangowrt/lantiq-vmmc-group
6b3fe2b|Daniel Golle|Sun Mar 3 15:25:22 2024 +0000|asterisk-chan-lantiq: add user 'asterisk' to 'vmmc' group
51c6f58|micmac1|Wed Jan 31 18:35:54 2024 +0100|Merge pull request #856 from micmac1/sipp-372
352384f|micmac1|Wed Jan 31 18:35:06 2024 +0100|Merge pull request #788 from guijan/pcapsipdump-libobsd
7e66d0e|Sebastian Kemper|Sun Jan 21 15:15:08 2024 +0100|sipp: bump to 3.7.2
54c0d91|micmac1|Sat Jan 6 10:44:16 2024 +0100|Merge pull request #853 from micmac1/rtpe-10.5.6.3-22.03
635214a|micmac1|Sat Jan 6 10:41:22 2024 +0100|Merge pull request #851 from micmac1/22.03-ast-18.20.2
ca132ae|Sebastian Kemper|Sat Jan 6 10:37:30 2024 +0100|rtpengine: bump to 9.5.8.2
404a50b|Sebastian Kemper|Fri Jan 5 23:34:56 2024 +0100|asterisk: bump to 18.20.2
ab63996|Sebastian Kemper|Fri Dec 29 09:01:10 2023 +0100|pjproject: sync patches with asterisk 18.20.2
e1ddb67|Andreas Gnau|Wed Aug 30 18:36:14 2023 +0200|pjproject: Add PKG_CPE_ID
0b0af5c|Jiri Slachta|Fri Dec 29 11:11:14 2023 +0100|Merge pull request #849 from micmac1/ast-20.5.2
3d1eac3|micmac1|Fri Dec 29 09:14:35 2023 +0100|Merge pull request #848 from micmac1/dongle-2022
4e4b281|Sebastian Kemper|Fri Dec 29 09:03:00 2023 +0100|asterisk: bump to 20.5.2
6643627|Sebastian Kemper|Fri Dec 29 09:01:10 2023 +0100|pjproject: sync patches with asterisk 20.5.2
411b6fb|Sebastian Kemper|Tue Dec 26 14:21:58 2023 +0100|asterisk-chan-dongle: bump to latest git
ca2a412|micmac1|Mon Dec 25 15:30:44 2023 +0100|Merge pull request #847 from micmac1/rtpe-11.5.1.18
de75348|Sebastian Kemper|Sun Dec 24 23:50:51 2023 +0100|rtpengine: bump to 11.5.1.18
8143d9d|micmac1|Sun Dec 24 14:44:30 2023 +0100|Merge pull request #846 from micmac1/fs-1.10.11-22.03
9824198|Sebastian Kemper|Sat Dec 23 23:40:37 2023 +0100|freeswitch: bump to 1.10.11
a9a7b45|Sebastian Kemper|Sat Dec 23 23:38:30 2023 +0100|sofia-sip: bump to 1.13.17
02f4ad1|micmac1|Sun Dec 24 12:09:27 2023 +0100|Merge pull request #844 from micmac1/fs-1.10.11
390b0aa|Sebastian Kemper|Sat Dec 23 23:40:37 2023 +0100|freeswitch: bump to 1.10.11
2ec7aac|Sebastian Kemper|Sat Dec 23 23:38:30 2023 +0100|sofia-sip: bump to 1.13.17
04666c3|Jiri Slachta|Sat Nov 25 22:45:44 2023 +0100|Merge pull request #843 from guidosarducci/master-fix-network-device
7ab8207|Tony Ambardar|Tue Nov 21 18:53:39 2023 -0800|siproxd: improve network device resolution
b28229f|Jiri Slachta|Sat Nov 11 19:47:27 2023 +0100|Merge pull request #840 from Ansuel/pcre-kamailio
35b00b0|micmac1|Sun Nov 5 09:38:16 2023 +0100|Merge pull request #839 from Ansuel/rtengine-pcre2
fc766e3|micmac1|Sun Nov 5 09:34:36 2023 +0100|Merge pull request #838 from Ansuel/sipgrep-pcre2
add9143|micmac1|Sun Nov 5 09:31:45 2023 +0100|Merge pull request #834 from robho/yate_nftables_banbrutes
56ec2ae|micmac1|Sun Nov 5 09:26:52 2023 +0100|Merge pull request #836 from micmac1/dahli-6
ed8d330|Christian Marangi|Thu Nov 2 23:36:52 2023 +0100|rtpengine: bump to 11.5.1.12 release and set PCRE2
ac4ad7f|Christian Marangi|Fri Nov 3 03:37:05 2023 +0100|kamailio: backport and move to PCRE2
231910d|Christian Marangi|Fri Nov 3 03:35:35 2023 +0100|kamailio: bump to release 5.7.2
ceb721c|Christian Marangi|Fri Nov 3 03:33:16 2023 +0100|kamailio: add patch fixing fragile kamcmd
77068cd|Christian Marangi|Thu Nov 2 22:21:15 2023 +0100|sipgrep: Move package to PCRE2
178e4bc|Sebastian Kemper|Fri Oct 13 11:24:32 2023 +0200|dahdi-linux: bump to latest git head
8a2f823|Robert Högberg|Tue Oct 10 23:25:34 2023 +0200|yate: Update yate script to use an nftables set
33f2ae7|micmac1|Sat Oct 7 10:13:05 2023 +0200|Merge pull request #833 from micmac1/fs-vpx-CVE-2023-5217-CVE-2023-44488-22
a1dd316|Sebastian Kemper|Wed Oct 4 19:26:07 2023 +0200|freeswitch: add patches for CVEs in bundled libvpx
5f998af|micmac1|Fri Oct 6 21:47:20 2023 +0200|Merge pull request #831 from micmac1/fs-vpx-CVE-2023-5217
26e09b2|Sebastian Kemper|Wed Oct 4 19:26:07 2023 +0200|freeswitch: add patches for CVEs in bundled libvpx
4ccdae6|Jiri Slachta|Sun Sep 17 20:26:41 2023 +0200|Merge pull request #829 from Rondom/rondom-add-cpe-ids
2b3ae31|Andreas Gnau|Wed Aug 30 18:36:14 2023 +0200|pjproject: Add PKG_CPE_ID
387ae7b|Andreas Gnau|Wed Aug 30 18:35:51 2023 +0200|asterisk: Add PKG_CPE_ID
b222f4f|micmac1|Fri Aug 25 19:32:33 2023 +0200|Merge pull request #828 from micmac1/fs-1.10.10-22.03
e293326|Sebastian Kemper|Fri Aug 18 14:23:53 2023 +0200|freeswitch: bump to 1.10.10
4a72d22|Sebastian Kemper|Mon May 29 19:53:34 2023 +0200|freeswitch: mark mod-python3 BROKEN
81a2997|Sebastian Kemper|Fri May 19 01:00:12 2023 +0200|freeswitch: fix compile against musl-1.2.4
d71123c|Sebastian Kemper|Thu Mar 2 20:11:57 2023 +0100|freeswitch: bump to 1.10.9
136593c|Sebastian Kemper|Tue Nov 8 21:19:19 2022 +0100|freeswitch: use return in init script
d3d6a46|Sebastian Kemper|Mon Nov 7 22:07:50 2022 +0100|freeswitch: workaround mod-shout compile failure
dfd2ba6|Sebastian Kemper|Sat Oct 15 16:49:19 2022 +0200|freeswitch: bump to 1.10.8
7fe8550|Sebastian Kemper|Sun Jun 12 10:05:30 2022 +0200|freeswitch: workaround compile fail with gcc 12
4968b13|Sebastian Kemper|Tue Aug 22 21:44:13 2023 +0200|signalwire-client-c: bump to 1.3.3
59ec33e|Sebastian Kemper|Tue Aug 22 21:39:56 2023 +0200|libks: bump to 1.8.3
52899d4|Sebastian Kemper|Thu Mar 2 20:09:02 2023 +0100|libks: bump to 1.8.2
9a5d60c|Sebastian Kemper|Sat Oct 15 16:42:14 2022 +0200|libks: bump to 1.8.0
5f730e2|Sebastian Kemper|Fri Aug 18 12:38:12 2023 +0200|sofia-sip: bump to 1.13.16
daf02e9|Sebastian Kemper|Thu Mar 2 20:10:04 2023 +0100|sofia-sip: bump to 1.13.14
bdea313|Sebastian Kemper|Thu Dec 29 13:16:12 2022 +0100|sofia-sip: bump to 1.13.11
3408984|Sebastian Kemper|Sun Sep 25 11:04:22 2022 +0200|sofia-sip: bump to 1.13.9
eb44b1a|Sebastian Kemper|Fri Aug 18 12:36:41 2023 +0200|spandsp3: bump to commit from June 16th
2203ac0|Sebastian Kemper|Thu Mar 2 20:10:58 2023 +0100|spandsp3: bump to latest commit
1488eb0|micmac1|Sat Aug 19 11:20:16 2023 +0200|Merge pull request #826 from micmac1/fs-1.10.10
999a8a9|Sebastian Kemper|Fri Aug 18 14:23:53 2023 +0200|freeswitch: bump to 1.10.10
bd1a8de|Sebastian Kemper|Fri Aug 18 14:23:41 2023 +0200|signalwire-client-c: bump to 2.0.0
04f03b9|Sebastian Kemper|Fri Aug 18 14:23:30 2023 +0200|libks: bump to 2.0.2
4cce5eb|Sebastian Kemper|Fri Aug 18 12:38:12 2023 +0200|sofia-sip: bump to 1.13.16
c18640b|Sebastian Kemper|Fri Aug 18 12:36:41 2023 +0200|spandsp3: bump to commit from June 16th
cde59ed|micmac1|Sun Jul 23 17:59:20 2023 +0200|Merge pull request #824 from micmac1/22.03-ast-iax2-crash
2a3c267|Sebastian Kemper|Sun Jul 23 15:58:44 2023 +0200|asterisk: add upstream patch against iax2 crash
c093d20|micmac1|Sun Jul 23 15:45:02 2023 +0200|Merge pull request #822 from micmac1/ast-iax2-crash
3d063ac|Sebastian Kemper|Sun Jul 23 12:26:21 2023 +0200|asterisk: add upstream patch against iax2 crash
6e1c2e9|micmac1|Tue Jul 18 23:16:17 2023 +0200|Merge pull request #820 from kuanyili/replace-autorelease
8727575|Kuan-Yi Li|Tue Jul 18 10:45:41 2023 +0800|treewide: replace AUTORELEASE with real PKG_RELEASE
be76ecd|micmac1|Thu Jul 13 23:08:10 2023 +0200|Merge pull request #819 from micmac1/pj2131-22.03
835694c|Sebastian Kemper|Sun Jul 9 16:11:09 2023 +0200|asterisk: remove dep on libsrtp from res-pjproject
1a8b1bf|Sebastian Kemper|Sat Jul 8 10:39:36 2023 +0200|pjproject: bump to 2.13.1
b6a2a3d|Sebastian Kemper|Wed Jun 7 23:38:52 2023 +0200|pjproject: bump to 2.13
bcf4d2a|micmac1|Sun Jul 9 10:05:04 2023 +0200|Merge pull request #817 from micmac1/pj2131
73526e5|Sebastian Kemper|Sat Jul 8 10:39:36 2023 +0200|pjproject: bump to 2.13.1
7983fb1|micmac1|Sun Jul 2 20:55:11 2023 +0200|Merge pull request #815 from micmac1/ast-20.3.0
945b7ea|Sebastian Kemper|Wed Jun 7 23:51:43 2023 +0200|asterisk: bump to 20.3.0
2e9e9b8|Sebastian Kemper|Wed Jun 7 23:38:52 2023 +0200|pjproject: bump to 2.13
5960523|micmac1|Mon May 29 23:13:36 2023 +0200|Merge pull request #812 from micmac1/kam-py-3.11-patches
e77a92e|micmac1|Mon May 29 23:12:52 2023 +0200|Merge pull request #811 from micmac1/fs-py-3.11-broken
4483312|Sebastian Kemper|Mon May 29 19:56:54 2023 +0200|kamailio: add patches for app_python3
2d4c2d2|Sebastian Kemper|Mon May 29 19:53:34 2023 +0200|freeswitch: mark mod-python3 BROKEN
27be55e|micmac1|Fri May 19 10:45:34 2023 +0200|Merge pull request #810 from micmac1/fs-musl-1.2.4
8bd8f5e|Sebastian Kemper|Fri May 19 01:00:12 2023 +0200|freeswitch: fix compile against musl-1.2.4
afad179|Christian Marangi|Fri May 12 20:27:48 2023 +0200|dahdi-linux: add multiple patch fixing compilation warning
f265a93|Christian Marangi|Fri May 12 19:41:14 2023 +0200|rtpengine: add patch fixing compilation warning for kernel module
36d9f2f|micmac1|Wed Apr 12 15:32:35 2023 +0200|Merge pull request #809 from micmac1/fs-backport-22.03
ee3094c|Eneas U de Queiroz|Thu Feb 9 15:32:06 2023 -0300|freeswitch: allow building with OpenSSL 3.0
39ca113|micmac1|Wed Mar 29 20:18:27 2023 +0200|Merge pull request #807 from micmac1/ci-up
a4b6dfa|Sebastian Kemper|Fri Mar 24 10:29:18 2023 +0100|CI: sync up with changes in packages repo
2a81709|micmac1|Fri Mar 24 10:13:45 2023 +0100|Merge pull request #806 from dhewg/buildflags
50d73ce|micmac1|Fri Mar 24 10:10:49 2023 +0100|Merge pull request #802 from cotequeiroz/baresip
e29aac5|micmac1|Fri Mar 24 10:03:33 2023 +0100|Merge pull request #805 from micmac1/sccp-autoconf-2.70
7681ad2|Andre Heider|Thu Mar 23 09:49:33 2023 +0100|kamailio: refactor to use PKG_BUILD_FLAGS:=no-mips16
3b0a9ac|Sebastian Kemper|Sat Mar 18 17:42:35 2023 +0100|asterisk-chan-sccp: autoconf fixes
f79f624|micmac1|Fri Mar 3 17:17:42 2023 +0100|Merge pull request #804 from micmac1/fs-1109
269b611|Sebastian Kemper|Thu Mar 2 20:11:57 2023 +0100|freeswitch: bump to 1.10.9
5df2a49|Sebastian Kemper|Thu Mar 2 20:10:58 2023 +0100|spandsp3: bump to latest commit
9cfc0b4|Sebastian Kemper|Thu Mar 2 20:10:04 2023 +0100|sofia-sip: bump to 1.13.14
e52d417|Sebastian Kemper|Thu Mar 2 20:09:02 2023 +0100|libks: bump to 1.8.2
54be049|micmac1|Sun Feb 12 18:33:38 2023 +0100|Merge pull request #803 from cotequeiroz/OpenSSL3
d1d08ea|Eneas U de Queiroz|Fri Feb 10 08:30:44 2023 -0300|baresip: fix parallel build
26bb868|Eneas U de Queiroz|Thu Feb 9 15:27:00 2023 -0300|coturn: update to 4.6.1
09ad78b|Eneas U de Queiroz|Thu Feb 9 15:32:06 2023 -0300|freeswitch: allow building with OpenSSL 3.0
5087c7e|micmac1|Tue Jan 10 21:01:14 2023 +0100|Merge pull request #798 from micmac1/22.03-rtpe-lws-openssl
b1bfd7d|Jiri Slachta|Mon Jan 9 14:16:47 2023 +0100|Merge pull request #797 from micmac1/rtpe-lws-openssl
