<details> <summary> <b>openwrt routing new commit log :new: </b>  </summary>

SHA|Author|Date|Message
-|-|-|-
4af9b69|Rob White|Thu Mar 21 20:39:24 2024 +0000|mesh11sd: update to version 3.1.0
da3b774|Paul Spooren|Thu Mar 14 14:46:15 2024 +0100|ci: set correct arch for rootfs tests
10d7b78|Paul Spooren|Wed Jan 10 17:22:54 2024 +0100|ci: no longer require real name
2610af4|Simon Wunderlich|Mon Feb 5 10:54:16 2024 +0100|Merge pull request #1047 from ecsv/batadv-for-22.03
61f15a7|Simon Wunderlich|Mon Feb 5 10:54:07 2024 +0100|Merge pull request #1045 from ecsv/batadv-2024.0
9090aef|Sven Eckelmann|Mon Feb 5 08:52:23 2024 +0100|batman-adv: Provide teardown hook for batadv_vlan proto
03b4663|Sven Eckelmann|Mon Feb 5 08:52:23 2024 +0100|batman-adv: Provide teardown hook for batadv_vlan proto
024b1db|Simon Wunderlich|Sun Feb 4 11:52:39 2024 +0100|Merge pull request #1042 from ecsv/batadv-for-22.03
6a7a1a5|Sven Eckelmann|Fri Feb 2 22:46:09 2024 +0100|batman-adv: update to version 2024.0
5b1caf1|Sven Eckelmann|Fri Feb 2 22:45:32 2024 +0100|batctl: update to version 2024.0
b40ad19|Sven Eckelmann|Fri Feb 2 22:44:57 2024 +0100|alfred: update to version 2024.0
056013f|Sven Eckelmann|Fri Feb 2 22:59:34 2024 +0100|batctl: Merge bugfixes from 2024.0
076a275|Sven Eckelmann|Sat Feb 3 08:56:13 2024 +0100|treewide: remove AUTORELEASE
6f74738|Simon Wunderlich|Sat Dec 23 18:05:57 2023 +0100|Merge pull request #1038 from ecsv/batadv-2023.3
96b5fa1|Sven Eckelmann|Sat Dec 23 11:55:49 2023 +0100|batman-adv: compat: Fix skb_vlan_eth_hdr conflict in stable kernels
a5ec54a|Rob White|Thu Nov 23 16:06:11 2023 +0000|opennds: update to version 10.2.0
f0f1b0a|Simon Wunderlich|Fri Nov 17 22:05:13 2023 +0100|Merge pull request #1033 from ecsv/batadv-2023.3
28b8a5e|Sven Eckelmann|Fri Nov 17 21:31:47 2023 +0100|batman-adv: update to version 2023.3
b69c629|Sven Eckelmann|Fri Nov 17 21:31:28 2023 +0100|batctl: update to version 2023.3
1bdab4b|Sven Eckelmann|Fri Nov 17 21:30:59 2023 +0100|alfred: update to version 2023.3
601bd6c|William Fleurant|Sun Oct 29 10:05:17 2023 +0100|cjdns: always build without ccache prefix
777c115|Moritz Warning|Tue Oct 10 20:51:00 2023 +0200|nodogsplash: explicit file copy
55df09a|Moritz Warning|Tue Oct 10 00:35:21 2023 +0200|nodogsplash: update to version 5.0.2
2a725e7|Moritz Warning|Tue Oct 10 20:51:00 2023 +0200|nodogsplash: explicit file copy
49da9e9|Bradford Zhang|Sat Oct 7 21:41:10 2023 +0800|bird2: bump to version 2.14
fe1c67f|Moritz Warning|Tue Oct 10 00:35:21 2023 +0200|nodogsplash: update to version 5.0.2
b312934|Josef Schlehofer|Thu Sep 28 09:31:02 2023 +0200|bmx6: drop package
f737045|Josef Schlehofer|Thu Sep 28 09:34:27 2023 +0200|luci-app-bmx6: drop this because of security vulnerabilities
c2124dd|Josef Schlehofer|Thu Sep 28 09:34:27 2023 +0200|luci-app-bmx6: drop this because of security vulnerabilities
9fb9d93|Josef Schlehofer|Thu Sep 28 09:31:02 2023 +0200|bmx6: drop package
0b19771|Rob White|Mon Aug 28 16:19:06 2023 +0100|opennds: update to version 10.1.3
fa833a0|Jeffery To|Fri Jun 2 22:04:38 2023 +0800|CI: Sort build architectures in alphabetical order
191f6c0|Christian Marangi|Fri May 26 14:43:12 2023 +0200|CI: add concurrency rules to skip redundant build
675248d|Jeffery To|Wed May 10 14:10:37 2023 +0800|CI: Do package run-tests only if target packages were built
4f11560|Jeffery To|Wed May 10 13:51:59 2023 +0800|CI: Run "apt-get update" before installing signify-openbsd
86f308d|Van Waholtz|Mon May 1 19:04:24 2023 +0800|CI: Enable runtime_test for mips_24kc
ca62049|Gerard Ryan|Sat Apr 29 16:25:49 2023 +1000|cache-domains: added pre-test.sh CI step
9f7ba4a|Jeffery To|Wed Mar 22 15:46:13 2023 +0800|CI: Add local feed for CI-built packages
ac03feb|Jeffery To|Tue Mar 21 14:41:48 2023 +0800|CI: Add --autoremove, ignore removal errors
9fb0ed2|Tianling Shen|Thu Mar 9 14:17:35 2023 +0800|CI: update build architectures
dce4a4c|Paul Spooren|Thu Dec 1 21:02:10 2022 +0100|ci: only comment AUTORELEASE deprecation if exists
42584b0|Paul Spooren|Wed Nov 16 19:06:20 2022 +0100|CI: deprecate $(AUTORELEASE) via comments
120bf33|Josef Schlehofer|Fri Mar 3 11:04:50 2023 +0100|ci: change default packages
8e68501|Alois Klink|Wed Nov 23 18:37:01 2022 +0000|github-ci: error on any shell errors
b1ca335|Christian Marangi|Tue Oct 25 11:03:01 2022 +0200|ci: update github actions to v3
